,AmgR,ArcZ,C0664,ChiX,CsrB,CsrC,CyaR,DapZ,DsrA,FnrS,GcvB,GlmY,GlmZ,InvR,IsrA,IsrB‑1,IsrB‑2,IsrC,IsrD,IsrF,IsrG,IsrH_1_2,IsrI,IsrJ,IsrK,IsrL,IsrM,IsrN,IsrO,IsrP,IsrQ,IstR‑1_2,MgrR,MicA,MicC,MicF,OmrA,OmrB,OxyS,RprA,RseX,RybA,RybB,RybD,RydB,RydC,RyeC,RyeF,RyfA,RygC,RygD,RyhB‑1,RyhB‑2,RyjB,SdsR,SgrS,Spf,SraA,SraB,SraC,SraF,SraG,SraL,sRNA1,sRNA10,sRNA12,sRNA3,sRNA9,SroA,SroC,SroG,SsrS,STnc070,STnc1010,STnc1030,STnc1040,STnc1060,STnc1080,STnc1090,STnc1110,STnc1130,STnc1150,STnc1160,STnc1170,STnc1180,STnc1200,STnc1210,STnc1220,STnc1270,STnc1280,STnc1290,STnc1300,STnc1310,STnc1320,STnc1330,STnc1340,STnc1380,STnc1390,STnc1400,STnc1410,STnc1420,STnc1430,STnc1460,STnc1470,STnc1480,STnc150,STnc1500,STnc1510,STnc1530,STnc1540,STnc1550,STnc1560,STnc1590,STnc1600,STnc1640,STnc1650,STnc1660,STnc1670,STnc1690,STnc1700,STnc1710,STnc1740,STnc1760,STnc1820,STnc1830,STnc1860,STnc1870,STnc1880,STnc1890,STnc1920,STnc1990,STnc200,STnc2010,STnc2030,STnc2040,STnc2050,STnc2070,STnc2080,STnc2090,STnc2100,STnc2110,STnc2130,STnc2160,STnc2170,STnc2180,STnc290,STnc3000,STnc3010,STnc3020,STnc3030,STnc3040,STnc3050,STnc3060,STnc3070,STnc3080,STnc3090,STnc310,STnc3100,STnc3110,STnc3120,STnc3130,STnc3140,STnc3150,STnc3160,STnc3170,STnc3180,STnc3200,STnc3210,STnc3220,STnc3230,STnc3240,STnc3250,STnc3270,STnc3280,STnc3290,STnc3300,STnc3310,STnc3330,STnc3340,STnc3350,STnc3390,STnc340,STnc3400,STnc3410,STnc3420,STnc3430,STnc3440,STnc3460,STnc3480,STnc3490,STnc350,STnc3500,STnc3510,STnc3530,STnc3540,STnc3550,STnc3570,STnc3580,STnc3600,STnc3610,STnc3620,STnc3630,STnc3640,STnc3680,STnc3700,STnc3720,STnc3730,STnc3740,STnc3750,STnc3760,STnc3770,STnc3790,STnc380,STnc3800,STnc3830,STnc3850,STnc3860,STnc3870,STnc3880,STnc3890,STnc3920,STnc3950,STnc3960,STnc3970,STnc3990,STnc400,STnc4000,STnc4010,STnc4020,STnc4040,STnc4070,STnc4080,STnc4100,STnc4110,STnc4120,STnc4130,STnc4140,STnc4150,STnc4160,STnc4170,STnc4180,STnc4190,STnc4200,STnc4210,STnc4220,STnc4230,STnc4240,STnc4250,STnc4260,STnc440,STnc470,STnc480,STnc490,STnc500,STnc520,STnc540,STnc630,STnc700,STnc710,STnc740,STnc750,STnc760,STnc770,STnc780,STnc790,STnc800,STnc810,STnc840,STnc850,STnc870,STnc880,STnc890,STnc920,STnc930,STnc950,STnc980,t44,tp2,tpke11,tpke70
CP011303,NA,NA,NA,NA,67,NA,NA,NA,NA,84,80,67,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,68,NA,NA,NA,NA,NA,85,NA,NA,77,77,NA,77,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,90,NA,98,81,NA,NA,76,69,NA,NA,NA,NA,81,NA,75,NA,86,77,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,60,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,79,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,61,68,NA,NA,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,47,NA
HG326223,NA,NA,NA,NA,69,NA,73,80,NA,85,82,67,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,77,NA,NA,64,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,94,NA,98,79,NA,NA,73,72,NA,NA,NA,NA,81,NA,77,NA,84,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,67,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,81,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,NA,64,63,NA,NA,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AE005674,NA,90,64,75,88,89,93,NA,90,98,94,93,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,86,94,78,98,99,90,86,95,NA,81,99,NA,91,81,81,85,74,72,88,78,NA,NA,96,74,98,87,92,77,88,92,94,NA,83,82,86,NA,92,81,88,92,NA,NA,NA,84,80,NA,74,67,NA,NA,80,NA,82,87,NA,NA,80,NA,74,NA,NA,69,78,100,NA,NA,NA,NA,89,82,59,71,NA,NA,NA,NA,NA,82,NA,84,83,NA,77,NA,86,78,NA,NA,NA,NA,NA,55,NA,70,NA,NA,NA,NA,NA,79,NA,NA,82,NA,77,NA,94,NA,NA,97,NA,NA,96,NA,86,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,72,NA,70,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,58,NA,NA,80,NA,80,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,73,NA,85,56,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,62,NA,NA,NA,70,NA,NA,NA,NA,75,85,53,NA,NA,NA,NA,NA,NA,NA,NA,65,76,67,NA,NA,77,NA,NA,85,NA,NA,NA,NA,NA,70,70,NA,NA,80,87,NA,95,NA,NA,NA,NA,NA,NA,74,NA,73,94,89,77,NA,NA,NA,NA,61,56,NA,81,89,98,89,NA,88,72,NA,NA,94,85,81,81
AE014073,NA,90,64,75,88,89,93,NA,90,98,94,93,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,86,94,78,98,99,90,86,95,NA,81,99,NA,91,81,81,85,74,72,88,78,NA,NA,96,74,98,87,92,77,88,92,94,NA,83,82,86,NA,92,81,88,92,NA,NA,NA,84,76,NA,74,67,NA,NA,84,NA,82,87,NA,NA,80,NA,74,NA,NA,69,78,100,NA,NA,NA,NA,89,81,59,71,NA,NA,NA,NA,NA,82,NA,84,83,NA,77,NA,86,78,NA,NA,NA,NA,NA,55,NA,73,NA,NA,NA,NA,NA,79,NA,NA,82,NA,77,NA,94,NA,NA,97,NA,NA,96,NA,86,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,72,NA,70,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,58,NA,NA,80,NA,80,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,73,NA,85,56,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,62,NA,NA,NA,70,NA,NA,NA,NA,75,85,53,NA,NA,NA,NA,NA,NA,NA,NA,65,76,67,NA,NA,77,NA,NA,85,NA,NA,NA,NA,NA,70,70,NA,NA,84,87,NA,95,NA,NA,NA,NA,NA,NA,74,NA,73,94,85,77,NA,NA,NA,NA,61,56,NA,81,89,98,89,NA,88,72,NA,NA,94,85,81,81
CP000034,NA,90,71,75,87,89,93,NA,90,97,95,94,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,82,86,93,77,94,99,89,86,96,NA,81,99,NA,91,81,82,84,76,71,87,80,NA,NA,96,71,98,88,92,79,89,92,94,NA,NA,82,86,NA,92,80,88,91,NA,NA,NA,83,76,NA,74,70,NA,NA,80,NA,83,NA,NA,NA,80,NA,56,NA,NA,NA,NA,100,NA,NA,NA,NA,89,81,NA,NA,NA,NA,NA,NA,NA,83,NA,83,NA,NA,78,NA,85,80,NA,NA,NA,NA,NA,58,NA,70,NA,NA,NA,NA,NA,77,NA,NA,81,NA,71,NA,94,79,NA,97,NA,NA,94,NA,85,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,71,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,78,NA,75,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,81,35,NA,NA,NA,NA,NA,NA,NA,NA,65,75,NA,NA,NA,77,NA,NA,85,NA,NA,NA,NA,NA,69,69,NA,NA,84,85,NA,95,NA,NA,NA,NA,91,NA,72,NA,73,93,83,68,NA,NA,NA,NA,64,55,NA,79,91,98,89,NA,88,79,NA,NA,94,85,81,81
CP000036,NA,90,71,75,88,89,94,NA,90,98,95,93,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,85,93,78,98,99,NA,86,96,NA,81,99,NA,91,81,86,84,74,72,88,80,NA,NA,96,74,98,87,92,78,88,92,NA,NA,83,83,87,NA,92,81,88,92,NA,NA,NA,80,80,NA,75,66,NA,NA,NA,NA,83,NA,NA,NA,80,NA,65,74,NA,NA,78,100,NA,NA,NA,NA,89,82,NA,NA,NA,NA,NA,NA,NA,81,NA,67,NA,NA,77,NA,86,79,NA,NA,NA,NA,NA,62,NA,71,NA,NA,NA,NA,NA,79,NA,NA,72,NA,79,NA,94,79,NA,NA,NA,NA,96,NA,85,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,70,NA,NA,72,NA,67,NA,NA,NA,NA,NA,61,NA,60,NA,NA,NA,76,NA,80,NA,NA,NA,83,NA,NA,64,NA,NA,NA,64,NA,NA,NA,NA,73,NA,86,58,NA,NA,NA,NA,NA,NA,59,NA,71,NA,55,NA,NA,NA,70,NA,NA,NA,NA,76,85,60,NA,NA,NA,NA,NA,NA,NA,NA,65,77,67,NA,NA,78,NA,NA,85,NA,NA,NA,NA,67,80,72,NA,NA,85,87,NA,95,NA,NA,NA,NA,NA,NA,73,NA,72,94,89,NA,NA,NA,NA,NA,54,55,NA,81,91,98,87,NA,86,71,NA,NA,94,83,81,81
CP000038,NA,90,70,74,88,89,94,NA,90,98,95,93,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,81,86,93,78,97,99,89,86,96,NA,80,99,NA,91,77,84,84,74,72,88,78,NA,NA,96,74,98,87,92,80,88,92,94,NA,83,83,87,NA,91,81,88,92,NA,NA,NA,84,80,NA,74,NA,NA,NA,86,NA,83,NA,NA,NA,81,NA,66,NA,NA,NA,78,100,83,NA,NA,NA,89,82,NA,NA,NA,NA,NA,NA,NA,82,NA,84,NA,NA,77,NA,86,80,NA,NA,NA,NA,NA,54,NA,71,NA,NA,NA,NA,NA,79,68,NA,81,NA,79,NA,93,79,NA,97,NA,NA,98,NA,86,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,71,NA,NA,75,NA,67,NA,NA,NA,NA,NA,61,NA,71,58,NA,NA,80,NA,74,NA,NA,NA,79,NA,NA,64,NA,NA,NA,65,NA,NA,NA,NA,73,NA,85,57,NA,NA,NA,NA,NA,NA,58,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,67,NA,NA,78,NA,NA,85,NA,NA,NA,NA,NA,81,72,NA,NA,85,87,NA,95,NA,NA,NA,NA,NA,NA,74,NA,74,94,89,77,NA,NA,NA,NA,54,57,NA,79,91,98,89,NA,88,72,NA,NA,94,85,78,81
CP000266,NA,90,64,75,88,89,93,NA,90,98,94,93,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,86,94,78,98,99,90,86,96,NA,81,99,NA,91,81,81,85,74,72,88,78,NA,NA,96,74,98,87,92,79,88,92,94,NA,83,82,86,NA,92,81,88,92,NA,NA,NA,84,80,NA,74,67,NA,NA,79,NA,83,NA,NA,NA,80,NA,86,NA,NA,69,78,100,NA,NA,NA,NA,89,82,59,71,NA,NA,NA,NA,NA,82,NA,84,83,NA,77,NA,86,78,NA,NA,NA,NA,NA,57,NA,73,NA,NA,NA,NA,NA,79,NA,NA,82,NA,77,NA,94,78,NA,97,NA,NA,96,NA,86,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,72,NA,70,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,56,NA,NA,80,NA,80,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,73,NA,85,56,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,62,NA,NA,NA,70,NA,NA,NA,NA,75,85,53,NA,NA,NA,NA,NA,NA,NA,NA,65,76,67,NA,NA,77,NA,NA,85,NA,NA,NA,NA,NA,70,71,NA,NA,84,87,NA,95,NA,NA,NA,NA,NA,NA,74,NA,73,94,89,77,NA,NA,NA,NA,61,56,NA,81,89,98,89,NA,88,72,NA,NA,94,85,81,81
CP001063,NA,90,67,75,87,89,94,NA,90,98,95,93,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,85,93,78,97,99,NA,86,96,NA,81,99,NA,91,81,83,84,74,72,88,78,NA,NA,96,74,98,87,92,79,88,92,94,NA,83,83,87,NA,91,81,88,92,NA,NA,NA,80,80,NA,75,66,NA,NA,81,NA,83,NA,NA,NA,80,NA,70,73,NA,NA,79,100,NA,NA,NA,NA,89,82,NA,NA,NA,NA,NA,NA,NA,81,NA,67,NA,NA,77,NA,86,79,NA,NA,NA,NA,NA,63,NA,71,NA,NA,NA,NA,NA,79,NA,NA,72,NA,79,NA,94,79,NA,NA,NA,NA,98,NA,87,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,70,NA,NA,77,NA,67,NA,NA,NA,NA,NA,61,NA,56,NA,NA,NA,76,NA,80,NA,NA,NA,83,NA,NA,64,NA,NA,NA,64,NA,NA,NA,NA,75,NA,86,58,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,76,85,60,NA,NA,NA,NA,NA,NA,NA,NA,65,77,67,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,80,72,NA,NA,85,87,NA,95,NA,NA,NA,NA,NA,NA,74,NA,NA,94,89,NA,NA,NA,NA,NA,57,57,NA,81,91,98,87,NA,86,70,NA,NA,94,85,81,81
CP001383,NA,90,64,75,88,89,93,NA,90,98,94,93,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,83,86,94,78,98,99,87,86,95,NA,81,99,NA,91,81,81,85,74,72,88,78,NA,NA,96,74,98,87,92,77,88,92,94,NA,83,82,86,NA,92,81,88,92,NA,NA,NA,84,80,NA,74,67,NA,NA,80,NA,82,87,NA,NA,80,NA,74,NA,NA,69,78,100,NA,NA,NA,NA,89,82,59,71,NA,NA,NA,NA,NA,82,NA,84,83,NA,77,NA,86,78,NA,NA,NA,NA,NA,55,NA,73,NA,NA,NA,NA,NA,79,NA,NA,82,NA,77,NA,94,NA,NA,97,NA,NA,94,NA,86,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,72,NA,70,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,58,NA,NA,80,NA,80,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,73,NA,85,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,70,NA,NA,NA,NA,75,85,53,NA,NA,NA,NA,NA,NA,NA,NA,65,76,67,NA,NA,77,NA,NA,85,NA,NA,NA,NA,NA,70,70,NA,NA,84,87,NA,95,NA,NA,NA,NA,NA,NA,74,NA,73,94,89,77,NA,NA,NA,NA,61,56,NA,81,89,98,89,NA,88,72,NA,NA,94,85,81,81
HE616528,NA,90,67,74,88,89,94,NA,90,98,95,93,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,81,86,93,78,97,99,89,86,96,NA,80,99,NA,91,77,84,84,74,72,88,78,NA,NA,96,74,98,87,92,80,88,92,94,NA,83,83,87,NA,91,81,88,92,NA,NA,NA,84,80,NA,74,NA,NA,NA,86,NA,83,NA,NA,NA,81,NA,75,NA,NA,NA,78,100,83,NA,NA,NA,89,82,NA,NA,NA,NA,NA,NA,NA,82,NA,84,NA,NA,77,NA,86,80,NA,NA,NA,NA,NA,54,NA,71,NA,NA,NA,NA,NA,79,68,NA,81,NA,79,NA,93,79,NA,97,NA,NA,98,NA,86,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,71,NA,NA,75,NA,67,NA,NA,NA,NA,NA,61,NA,71,58,NA,NA,80,NA,74,NA,NA,NA,79,NA,NA,64,NA,NA,NA,65,NA,NA,NA,NA,73,NA,85,57,NA,NA,NA,NA,NA,NA,58,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,67,NA,NA,78,NA,NA,85,NA,NA,NA,NA,NA,81,72,NA,NA,85,87,NA,95,NA,NA,NA,NA,NA,NA,74,NA,74,94,89,77,NA,NA,NA,NA,54,57,NA,79,91,98,89,NA,88,72,NA,NA,94,85,81,81
FN667741,NA,68,NA,NA,NA,NA,60,NA,NA,NA,75,69,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,94,NA,NA,NA,NA,66,NA,NA,NA,NA,67,NA,71,NA,53,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,74,NA
FN667742,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,79,69,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,75,NA,94,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,69,NA,57,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,68,62,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FO704550,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,78,70,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,75,NA,94,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,73,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,77,NA
FO704551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,73,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,51,NA,NA,NA,65,NA,NA,74,NA,94,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FO818637,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,76,66,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,94,NA,NA,NA,NA,63,NA,NA,NA,NA,66,NA,76,NA,53,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,60,63,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,75,NA
